inter_arrival_time,request_rate_1min,path_frequency_rank,unique_paths_per_ip,body_bytes,body_bytes_rolling_mean,direction_encoded,process_encoded,method_GET,method_POST,method_PUT,method_DELETE,method_HEAD,method_PATCH,method_OPTIONS
0.0,2.0,4,13,480,480.0,1,3,0,0,1,0,0,0,0
0.0,2.0,4,13,0,240.0,1,3,0,0,0,0,1,0,0
2.0,1.0,5,227,0,0.0,1,1,1,0,0,0,0,0,0
12.0,1.0,13,226,111,111.0,1,2,0,1,0,0,0,0,0
0.0,2.0,13,227,111,55.5,1,3,0,1,0,0,0,0,0
3.0,4.0,4,13,0,160.0,1,3,0,0,0,0,1,0,0
0.0,3.0,1,226,61,86.0,0,2,0,1,0,0,0,0,0
0.0,5.0,1,227,61,57.333333333333336,0,3,0,1,0,0,0,0,0
0.0,5.0,1,227,61,58.25,1,3,0,1,0,0,0,0,0
0.0,3.0,1,226,61,77.66666666666667,1,2,0,1,0,0,0,0,0
0.0,5.0,5,227,0,46.6,1,1,1,0,0,0,0,0,0
0.0,4.0,3,13,33313,8448.25,1,3,0,1,0,0,0,0,0
1.0,5.0,2,226,0,58.25,0,2,1,0,0,0,0,0,0
0.0,5.0,2,226,0,46.6,1,2,1,0,0,0,0,0,0
0.0,7.0,2,227,0,38.833333333333336,1,3,1,0,0,0,0,0,0
0.0,7.0,2,227,0,33.285714285714285,0,3,1,0,0,0,0,0,0
2.0,7.0,2,226,0,38.833333333333336,0,2,1,0,0,0,0,0,0
0.0,6.0,3,13,39020,14562.6,1,3,0,1,0,0,0,0,0
0.0,6.0,4,13,0,12135.5,1,3,0,0,0,0,1,0,0
0.0,7.0,2,226,0,33.285714285714285,1,2,1,0,0,0,0,0,0
0.0,9.0,2,227,0,29.125,1,3,1,0,0,0,0,0,0
0.0,9.0,2,227,0,25.88888888888889,0,3,1,0,0,0,0,0,0
1.0,9.0,6,226,0,29.125,1,2,1,0,0,0,0,0,0
0.0,11.0,6,227,0,23.3,0,3,1,0,0,0,0,0,0
0.0,9.0,6,226,0,25.88888888888889,0,2,1,0,0,0,0,0,0
0.0,11.0,6,227,0,23.3,1,3,1,0,0,0,0,0,0
2.0,11.0,7,226,0,23.3,0,2,1,0,0,0,0,0,0
0.0,13.0,7,227,0,12.2,1,3,1,0,0,0,0,0,0
0.0,8.0,4,13,0,10401.857142857143,1,3,0,0,0,0,1,0,0
0.0,13.0,7,227,0,6.1,0,3,1,0,0,0,0,0,0
0.0,11.0,7,226,0,12.2,1,2,1,0,0,0,0,0,0
0.0,8.0,3,13,41826,14329.875,1,3,0,1,0,0,0,0,0
2.0,15.0,8,227,0,0.0,1,3,1,0,0,0,0,0,0
0.0,13.0,8,226,0,6.1,1,2,1,0,0,0,0,0,0
0.0,13.0,8,226,0,0.0,0,2,1,0,0,0,0,0,0
0.0,15.0,8,227,0,0.0,0,3,1,0,0,0,0,0,0
2.0,19.0,2,227,0,0.0,0,3,1,0,0,0,0,0,0
0.0,17.0,2,226,0,0.0,1,2,1,0,0,0,0,0,0
0.0,17.0,2,226,0,0.0,0,2,1,0,0,0,0,0,0
0.0,19.0,13,227,109,10.9,1,3,0,1,0,0,0,0,0
0.0,19.0,13,227,109,21.8,0,3,0,1,0,0,0,0,0
0.0,19.0,2,227,0,21.8,1,3,1,0,0,0,0,0,0
0.0,17.0,13,226,109,10.9,1,2,0,1,0,0,0,0,0
0.0,17.0,13,226,109,21.8,0,2,0,1,0,0,0,0,0
0.0,10.0,3,13,37610,16916.555555555555,1,3,0,1,0,0,0,0,0
0.0,10.0,4,13,0,15224.9,1,3,0,0,0,0,1,0,0
2.0,21.0,1,227,61,27.9,1,3,0,1,0,0,0,0,0
0.0,18.0,1,226,61,27.9,1,2,0,1,0,0,0,0,0
0.0,21.0,1,227,61,34.0,0,3,0,1,0,0,0,0,0
1.0,12.0,4,13,0,15176.9,1,3,0,0,0,0,1,0,0
0.0,19.0,1,226,61,34.0,0,2,0,1,0,0,0,0,0
0.0,12.0,3,13,34772,18654.1,1,3,0,1,0,0,0,0,0
1.0,25.0,2,227,0,34.0,1,3,1,0,0,0,0,0,0
0.0,25.0,2,227,0,34.0,0,3,1,0,0,0,0,0,0
0.0,22.0,2,226,0,34.0,1,2,1,0,0,0,0,0,0
0.0,22.0,2,226,0,34.0,0,2,1,0,0,0,0,0,0
0.0,25.0,2,227,0,34.0,1,3,1,0,0,0,0,0,0
0.0,25.0,2,227,0,34.0,0,3,1,0,0,0,0,0,0
0.0,22.0,2,226,0,34.0,1,2,1,0,0,0,0,0,0
1.0,14.0,3,13,40868,22740.9,1,3,0,1,0,0,0,0,0
0.0,26.0,5,227,0,34.0,1,1,1,0,0,0,0,0,0
0.0,14.0,4,13,0,19409.6,1,3,0,0,0,0,1,0,0
0.0,23.0,2,226,0,34.0,0,2,1,0,0,0,0,0,0
1.0,25.0,2,226,0,34.0,0,2,1,0,0,0,0,0,0
0.0,28.0,2,227,0,23.1,0,3,1,0,0,0,0,0,0
0.0,15.0,3,13,37649,19272.5,1,3,0,1,0,0,0,0,0
0.0,25.0,2,226,0,34.0,1,2,1,0,0,0,0,0,0
0.0,28.0,2,227,0,12.2,1,3,1,0,0,0,0,0,0
1.0,16.0,4,13,0,19272.5,1,3,0,0,0,0,1,0,0
1.0,30.0,2,227,0,12.2,1,3,1,0,0,0,0,0,0
0.0,30.0,2,227,0,6.1,0,3,1,0,0,0,0,0,0
0.0,27.0,2,226,0,23.1,1,2,1,0,0,0,0,0,0
0.0,27.0,2,226,0,12.2,0,2,1,0,0,0,0,0,0
1.0,31.0,2,227,0,0.0,1,3,1,0,0,0,0,0,0
1.0,18.0,4,13,0,19272.5,1,3,0,0,0,0,1,0,0
0.0,29.0,2,226,0,6.1,0,2,1,0,0,0,0,0,0
0.0,29.0,2,226,0,0.0,1,2,1,0,0,0,0,0,0
0.0,32.0,2,227,0,0.0,0,3,1,0,0,0,0,0,0
0.0,18.0,3,13,40892,19179.1,1,3,0,1,0,0,0,0,0
1.0,31.0,6,226,0,0.0,0,2,1,0,0,0,0,0,0
0.0,34.0,6,227,0,0.0,1,3,1,0,0,0,0,0,0
0.0,31.0,6,226,0,0.0,1,2,1,0,0,0,0,0,0
0.0,34.0,6,227,0,0.0,0,3,1,0,0,0,0,0,0
